ID,Treatment,Robber,Female,Age,Econ,RobbersChoice,DecisionTime,DGSent,UGSent,UGMTA,TGSent,TGReturn,Donation,CharityValue,Expectation,SelectedRobber,PayoffBeforeRob,PayoffAfterRob
140,1,0,0,22,1,-1,0,1,3,1,1,.090119,0,4,35.5,0,12.25,6.3
141,1,0,0,24,0,-1,0,4,5,5,10,.2524405,0,1,21.59,0,11.2,7.7
142,1,0,0,23,1,-1,0,1,4,1,4,.0885913,0,6,31.75,0,9.45,6.65
143,1,0,1,24,0,-1,0,0,3,1,0,0,0,5,35.8,0,17.15,11.55
144,1,0,0,21,0,-1,0,0,6,5,10,.112619,0,4,33,0,14.35,7.35
145,1,0,1,23,0,-1,0,0,0,0,0,0,0,10,23.6,0,9.1,6.3
146,0,0,0,24,1,-1,0,0,8,1,0,0,10,6,47.84,0,11.2,5.6
147,1,0,1,23,0,-1,0,0,4,4,3,.1871825,0,3,39.2,0,9.8,9.1
148,0,0,1,24,0,-1,0,5,5,0,10,.5,25,1,45.45,0,9.1,4.55
149,1,0,1,21,1,-1,0,0,5,1,3,.1459325,0,10,44.3,0,12.95,8.75
150,1,0,0,28,0,-1,0,5,5,5,3,.205873,0,9,25.2,0,9.45,8.75
151,1,0,1,24,0,-1,0,1,4,4,8,.5,0,8,4,0,11.55,8.05
152,1,0,1,23,1,-1,0,6,5,1,3,.5,20,7,32.5,0,10.15,7
153,0,0,1,25,1,-1,0,4,4,0,5,.198373,0,5,30.95,0,10.85,5.6
154,1,0,1,23,0,-1,0,3,5,1,3,.0366667,1,6,36.54,0,11.55,8.05
155,0,0,1,18,1,-1,0,4,5,1,2,.3535516,100,9,42.5,0,8.4,5.95
156,1,0,1,21,1,-1,0,5,5,0,4,.2064087,10,9,40.9,0,10.5,7.35
157,1,0,1,20,0,-1,0,0,5,0,0,0,5,8,48.3,0,11.2,7.7
