;"Player";"Investment";"Pot";"Return";"Endowment_Inferred";"Subject";"Delta",
475;78;7;28;14;10;"RAS_006";0,57
485;90;2;8;4;5;"RAS_006";0,57
495;95;8;32;18;10;"RAS_006";0,57
505;101;7;28;14;10;"RAS_006";0,57
515;104;7;28;15;10;"RAS_006";0,57
525;85;9;36;16;20;"RAS_006";0,57
535;65;2;8;4;5;"RAS_006";0,57
545;103;8;32;10;50;"RAS_006";0,57
555;41;4;16;8;5;"RAS_006";0,57
565;115;8;32;9;50;"RAS_006";0,57
575;49;4;16;5;20;"RAS_006";0,57
585;75;8;32;16;10;"RAS_006";0,57
595;98;2;8;2;10;"RAS_006";0,57
605;57;4;16;8;5;"RAS_006";0,57
615;97;10;40;15;50;"RAS_006";0,57
625;44;4;16;8;5;"RAS_006";0,57
635;46;10;40;20;20;"RAS_006";0,57
645;51;10;40;14;50;"RAS_006";0,57
655;80;2;8;4;5;"RAS_006";0,57
665;52;5;20;10;10;"RAS_006";0,57
675;48;9;36;11;50;"RAS_006";0,57
685;109;2;8;4;5;"RAS_006";0,57
695;96;5;20;10;10;"RAS_006";0,57
705;45;5;20;10;10;"RAS_006";0,57
715;76;4;16;8;5;"RAS_006";0,57
725;43;8;32;16;10;"RAS_006";0,57
735;114;10;40;19;20;"RAS_006";0,57
745;58;2;8;3;10;"RAS_006";0,57
755;111;9;36;11;50;"RAS_006";0,57
765;71;2;8;4;5;"RAS_006";0,57
775;70;7;28;10;50;"RAS_006";0,57
785;99;5;20;10;10;"RAS_006";0,57
795;119;4;16;7;10;"RAS_006";0,57
805;72;10;40;10;50;"RAS_006";0,57
815;88;5;20;10;10;"RAS_006";0,57
825;102;2;8;4;5;"RAS_006";0,57
835;60;10;40;14;50;"RAS_006";0,57
845;108;2;8;4;5;"RAS_006";0,57
855;92;2;8;4;5;"RAS_006";0,57
865;63;2;8;3;10;"RAS_006";0,57
875;105;10;40;15;50;"RAS_006";0,57
885;53;5;20;10;10;"RAS_006";0,57
895;74;9;36;18;20;"RAS_006";0,57
905;89;7;28;14;10;"RAS_006";0,57
915;64;5;20;10;10;"RAS_006";0,57
925;93;9;36;18;20;"RAS_006";0,57
935;81;4;16;8;5;"RAS_006";0,57
945;77;10;40;14;50;"RAS_006";0,57
955;91;2;8;4;5;"RAS_006";0,57
965;66;2;8;4;5;"RAS_006";0,57
975;67;4;16;8;5;"RAS_006";0,57
985;50;5;20;10;10;"RAS_006";0,57
995;120;2;8;4;5;"RAS_006";0,57
1005;47;10;40;18;20;"RAS_006";0,57
1015;113;7;28;13;20;"RAS_006";0,57
1025;54;7;28;14;10;"RAS_006";0,57
1035;42;2;8;3;10;"RAS_006";0,57
1045;117;2;8;4;5;"RAS_006";0,57
1055;62;8;32;10;50;"RAS_006";0,57
1065;73;7;28;1;50;"RAS_006";0,57
1075;79;9;36;18;20;"RAS_006";0,57
1085;83;5;20;10;10;"RAS_006";0,57
1095;106;2;8;3;10;"RAS_006";0,57
1105;56;9;36;18;20;"RAS_006";0,57
1115;68;4;16;8;5;"RAS_006";0,57
1125;94;4;16;7;10;"RAS_006";0,57
1135;107;8;32;11;50;"RAS_006";0,57
1145;59;9;36;14;50;"RAS_006";0,57
1155;100;8;32;13;20;"RAS_006";0,57
1165;69;7;28;11;20;"RAS_006";0,57
1175;116;5;20;10;10;"RAS_006";0,57
1185;86;2;8;4;5;"RAS_006";0,57
1195;61;8;32;12;50;"RAS_006";0,57
1205;87;9;36;16;20;"RAS_006";0,57
416;80;2;8;3;5;"RAS_008";0,46
426;85;9;36;9;50;"RAS_008";0,46
436;111;9;36;6;50;"RAS_008";0,46
446;78;7;28;4;50;"RAS_008";0,46
456;76;4;16;4;10;"RAS_008";0,46
466;113;7;28;3;50;"RAS_008";0,46
476;110;7;28;3;50;"RAS_008";0,46
486;74;9;36;8;50;"RAS_008";0,46
496;73;7;28;3;50;"RAS_008";0,46
506;109;2;8;1;10;"RAS_008";0,46
516;79;9;36;1;50;"RAS_008";0,46
526;45;5;20;5;20;"RAS_008";0,46
536;104;7;28;8;20;"RAS_008";0,46
546;90;2;8;3;5;"RAS_008";0,46
556;46;10;40;10;50;"RAS_008";0,46
566;72;10;40;1;50;"RAS_008";0,46
576;49;4;16;6;5;"RAS_008";0,46
586;82;9;36;2;50;"RAS_008";0,46
596;43;8;32;9;20;"RAS_008";0,46
606;91;2;8;3;5;"RAS_008";0,46
616;81;4;16;2;20;"RAS_008";0,46
626;99;5;20;5;20;"RAS_008";0,46
636;57;4;16;4;10;"RAS_008";0,46
646;70;7;28;7;20;"RAS_008";0,46
656;47;10;40;14;20;"RAS_008";0,46
666;97;10;40;13;20;"RAS_008";0,46
676;44;4;16;5;10;"RAS_008";0,46
686;101;7;28;8;20;"RAS_008";0,46
696;41;4;16;4;10;"RAS_008";0,46
706;69;7;28;7;20;"RAS_008";0,46
716;75;8;32;8;20;"RAS_008";0,46
726;106;2;8;3;5;"RAS_008";0,46
736;88;5;20;1;20;"RAS_008";0,46
746;93;9;36;11;20;"RAS_008";0,46
756;66;2;8;3;5;"RAS_008";0,46
766;60;10;40;9;50;"RAS_008";0,46
776;112;10;40;3;50;"RAS_008";0,46
786;114;10;40;5;50;"RAS_008";0,46
