;"Player";"Endowment";"Investment";"Pot";"Return";"Subject";"Delta",
529;20;20;8;32;10;"RAS_018";0,48
530;19;5;2;8;2;"RAS_018";0,48
531;3;10;5;20;7;"RAS_018";0,48
532;10;5;1;4;0;"RAS_018";0,48
533;32;10;10;40;15;"RAS_018";0,48
534;38;20;7;28;10;"RAS_018";0,48
535;11;2;1;4;1;"RAS_018";0,48
536;35;50;10;40;11;"RAS_018";0,48
537;29;5;5;20;10;"RAS_018";0,48
538;7;5;4;16;5;"RAS_018";0,48
539;5;20;4;16;6;"RAS_018";0,48
540;37;10;5;20;7;"RAS_018";0,48
541;40;10;4;16;5;"RAS_018";0,48
542;6;10;5;20;7;"RAS_018";0,48
543;30;2;1;4;1;"RAS_018";0,48
544;4;10;5;20;7;"RAS_018";0,48
545;12;20;10;40;14;"RAS_018";0,48
546;27;2;1;4;1;"RAS_018";0,48
547;14;10;4;16;5;"RAS_018";0,48
548;17;2;1;4;2;"RAS_018";0,48
549;28;10;2;8;3;"RAS_018";0,48
550;25;10;5;20;7;"RAS_018";0,48
551;33;10;7;28;10;"RAS_018";0,48
552;8;2;2;8;4;"RAS_018";0,48
553;26;10;1;4;2;"RAS_018";0,48
554;9;10;5;20;7;"RAS_018";0,48
555;2;20;8;32;11;"RAS_018";0,48
556;13;50;8;32;13;"RAS_018";0,48
557;16;10;9;36;15;"RAS_018";0,48
558;39;20;9;36;14;"RAS_018";0,48
559;15;20;7;28;12;"RAS_018";0,48
560;22;50;7;28;11;"RAS_018";0,48
561;33;10;7;28;24;"RAS_019";0,47
562;37;10;5;20;5;"RAS_019";0,47
563;24;20;5;20;3;"RAS_019";0,47
564;19;5;2;8;3;"RAS_019";0,47
565;27;2;1;4;1;"RAS_019";0,47
566;4;10;5;20;7;"RAS_019";0,47
567;11;2;1;4;1;"RAS_019";0,47
568;16;10;9;36;15;"RAS_019";0,47
569;13;50;8;32;8;"RAS_019";0,47
570;32;10;10;40;20;"RAS_019";0,47
571;8;2;2;8;4;"RAS_019";0,47
572;29;5;5;20;10;"RAS_019";0,47
573;30;2;1;4;1;"RAS_019";0,47
574;22;50;7;28;1;"RAS_019";0,47
575;28;10;2;8;2;"RAS_019";0,47
576;15;20;7;28;7;"RAS_019";0,47
577;21;20;10;40;13;"RAS_019";0,47
578;26;10;1;4;1;"RAS_019";0,47
579;10;5;1;4;1;"RAS_019";0,47
580;20;20;8;32;12;"RAS_019";0,47
581;1;10;5;20;5;"RAS_019";0,47
582;9;10;5;20;5;"RAS_019";0,47
583;39;20;9;36;10;"RAS_019";0,47
584;2;20;8;32;7;"RAS_019";0,47
585;3;10;5;20;5;"RAS_019";0,47
586;38;20;7;28;6;"RAS_019";0,47
587;25;10;5;20;7;"RAS_019";0,47
588;31;5;2;8;2;"RAS_019";0,47
589;23;20;9;36;10;"RAS_019";0,47
590;36;50;9;36;5;"RAS_019";0,47
591;35;50;10;40;5;"RAS_019";0,47
592;18;10;5;20;7;"RAS_019";0,47
593;40;10;4;16;4;"RAS_019";0,47
594;7;5;4;16;8;"RAS_019";0,47
595;12;20;10;40;12;"RAS_019";0,47
596;14;10;4;16;4;"RAS_019";0,47
597;34;10;8;32;15;"RAS_019";0,47
598;6;10;5;20;5;"RAS_019";0,47
599;5;20;4;16;3;"RAS_019";0,47
600;17;2;1;4;1;"RAS_019";0,47
601;5;20;4;16;4;"RAS_020";0,55
602;1;10;5;20;9;"RAS_020";0,55
