,Subject,trust_group,RR,Investment
400,RAS_011,mid,0.4,5
401,RAS_014,mid,0.5,5
402,RAS_014,mid,0.3125,8
403,RAS_014,mid,0.3125,8
404,RAS_014,mid,0.5625,4
405,RAS_014,low,0.125,10
406,RAS_014,mid,0.25,2
407,RAS_014,low,0.142857142857143,7
408,RAS_014,mid,0.25,10
409,RAS_014,hi,0.5,7
410,RAS_014,mid,0.25,2
411,RAS_014,mid,0.25,4
412,RAS_014,hi,0.5,2
413,RAS_014,mid,0.25,1
414,RAS_014,low,0.1,5
415,RAS_014,mid,0.25,5
416,RAS_014,hi,0.5,10
417,RAS_014,hi,0.5,5
418,RAS_014,mid,0.2,5
419,RAS_014,low,0,8
420,RAS_014,low,0,9
421,RAS_014,mid,0.214285714285714,7
422,RAS_014,mid,0.25,5
423,RAS_014,mid,0.3,5
424,RAS_014,hi,0.444444444444444,9
425,RAS_014,mid,0.25,5
426,RAS_014,hi,0.4375,4
427,RAS_014,hi,0.4375,8
428,RAS_014,mid,0,1
429,RAS_014,low,0,1
430,RAS_014,mid,0.107142857142857,7
431,RAS_014,mid,0.35,5
432,RAS_014,mid,0.25,10
433,RAS_014,mid,0.277777777777778,9
434,RAS_014,mid,0.25,1
435,RAS_014,low,0,4
436,RAS_014,mid,0,1
437,RAS_014,mid,0.3,5
438,RAS_014,low,0,1
439,RAS_014,mid,0.194444444444444,9
440,RAS_014,low,0,2
441,RAS_016,mid,0,8
442,RAS_016,low,0.25,1
443,RAS_016,mid,0,10
444,RAS_016,hi,0.5,5
445,RAS_016,mid,0.25,5
446,RAS_016,mid,0.25,1
447,RAS_016,low,0,8
448,RAS_016,mid,0.178571428571429,7
449,RAS_016,hi,0.375,10
450,RAS_016,low,0.125,2
451,RAS_016,mid,0.5,1
452,RAS_016,mid,0.178571428571429,7
453,RAS_016,mid,0.138888888888889,9
454,RAS_016,mid,0.25,5
455,RAS_016,mid,0.25,5
456,RAS_016,mid,0.25,4
457,RAS_016,low,0,1
458,RAS_016,hi,0.277777777777778,9
459,RAS_016,hi,0.3125,8
460,RAS_016,mid,0.25,5
