round,ppnr,groupid,ingroupid,bidnr,price,session,biddinground,currentprice,jump,decision,cv,signal,q5,q6,q7,q8,q9,q10,q11,q12,profit,firstjump,bidcount,entering,verdiensten
24,33,1,5,1,105,3,1,0,105,0,96,124,,,,,,,,,-14,105,2,1,0
24,33,1,5,2,110,3,6,105,5,0,96,124,,,,,,,,,-14,105,2,1,0
25,33,2,5,1,105,3,1,0,105,1,71,128,,,,,,,,,-25,105,1,1,-25
26,33,1,4,1,50,3,1,0,50,0,58,44,,,,,,,,,-22,50,1,1,0
27,33,1,1,1,69,3,4,65,4,0,90,70,,,,,,,,,-5,,1,0,0
28,33,1,5,1,21,3,1,0,21,0,105,40,,,,,,,,,14,21,1,1,0
29,33,2,3,1,55,3,1,0,55,0,111,106,,,,,,,,,-14,55,2,1,0
29,33,2,3,2,117,3,11,116,1,0,111,106,,,,,,,,,-14,55,2,1,0
30,33,2,4,1,69,3,2,0,69,0,138,160,,,,,,,,,25,69,5,1,0
30,33,2,4,2,102,3,5,86,16,0,138,160,,,,,,,,,25,69,5,1,0
30,33,2,4,3,107,3,14,106,1,0,138,160,,,,,,,,,25,69,5,1,0
30,33,2,4,4,112,3,16,110,2,0,138,160,,,,,,,,,25,69,5,1,0
30,33,2,4,5,113,3,19,112,1,0,138,160,,,,,,,,,25,69,5,1,0
1,34,2,3,1,70,3,2,0,70,0,120,175,,,,,,,,,-46,70,4,1,0
1,34,2,3,2,125,3,4,120,5,0,120,175,,,,,,,,,-46,70,4,1,0
1,34,2,3,3,150,3,7,145,5,0,120,175,,,,,,,,,-46,70,4,1,0
1,34,2,3,4,160,3,10,158,2,0,120,175,,,,,,,,,-46,70,4,1,0
2,34,2,1,1,130,3,4,125,5,0,118,124,,,,,,,,,-27,,1,0,0
3,34,1,3,1,40,3,3,20,20,0,131,134,,,,,,,,,8,,14,0,0
3,34,1,3,2,65,3,8,56,9,0,131,134,,,,,,,,,8,,14,0,0
3,34,1,3,3,67,3,9,65,2,0,131,134,,,,,,,,,8,,14,0,0
3,34,1,3,4,75,3,11,70,5,0,131,134,,,,,,,,,8,,14,0,0
3,34,1,3,5,77,3,12,75,2,0,131,134,,,,,,,,,8,,14,0,0
3,34,1,3,6,80,3,13,77,3,0,131,134,,,,,,,,,8,,14,0,0
3,34,1,3,7,90,3,15,85,5,0,131,134,,,,,,,,,8,,14,0,0
3,34,1,3,8,93,3,16,90,3,0,131,134,,,,,,,,,8,,14,0,0
3,34,1,3,9,102,3,19,100,2,0,131,134,,,,,,,,,8,,14,0,0
3,34,1,3,10,106,3,20,101,5,0,131,134,,,,,,,,,8,,14,0,0
3,34,1,3,11,108,3,21,106,2,0,131,134,,,,,,,,,8,,14,0,0
3,34,1,3,12,114,3,23,110,4,0,131,134,,,,,,,,,8,,14,0,0
3,34,1,3,13,118,3,28,115,3,0,131,134,,,,,,,,,8,,14,0,0
3,34,1,3,14,123,3,30,120,3,0,131,134,,,,,,,,,8,,14,0,0
4,34,1,2,1,25,3,2,0,25,0,113,90,,,,,,,,,-6,25,6,1,0
4,34,1,2,2,74,3,4,70,4,0,113,90,,,,,,,,,-6,25,6,1,0
4,34,1,2,3,82,3,6,75,7,0,113,90,,,,,,,,,-6,25,6,1,0
4,34,1,2,4,103,3,8,90,13,0,113,90,,,,,,,,,-6,25,6,1,0
4,34,1,2,5,114,3,13,110,4,0,113,90,,,,,,,,,-6,25,6,1,0
4,34,1,2,6,119,3,15,114,5,0,113,90,,,,,,,,,-6,25,6,1,0
5,34,1,3,1,13,3,3,10,3,0,88,98,,,,,,,,,-32,,6,0,0
5,34,1,3,2,65,3,5,50,15,0,88,98,,,,,,,,,-32,,6,0,0
5,34,1,3,3,68,3,6,65,3,0,88,98,,,,,,,,,-32,,6,0,0
5,34,1,3,4,88,3,8,70,18,0,88,98,,,,,,,,,-32,,6,0,0
5,34,1,3,5,93,3,9,88,5,0,88,98,,,,,,,,,-32,,6,0,0
5,34,1,3,6,100,3,10,93,7,0,88,98,,,,,,,,,-32,,6,0,0
6,34,2,3,1,52,3,3,50,2,0,137,105,,,,,,,,,12,,8,0,0
6,34,2,3,2,70,3,5,60,10,0,137,105,,,,,,,,,12,,8,0,0
