period,subject,triangle,chooseup,numchooseupcircle,numchooseuptri,profit,partnerout,partnerin,allocateincoin0,allocateincoin1,allocateincoin2,sumcoinsallocatedin,totalprofit,normtriup,normadults,gameunequal,n_period,n_subjects,kindergarten,female,S_ID,I_ID
6,2,0,0,15,14,1,6,,,,,,5,0,1,0,13,10,1,1,10,1002
10,4,0,1,46,2,1,5,,,,,,9,0,1,0,13,10,0,0,15,1504
4,1,0,1,16,2,1,8,,,,,,4,0,1,0,13,10,0,0,15,1501
7,2,0,0,18,6,0,7,,,,,,4,0,0,0,13,8,1,1,21,2102
9,4,0,0,27,26,1,8,,,,,,6,0,0,1,13,10,1,1,44,4404
10,3,0,1,46,2,1,6,,,,,,8,0,1,0,13,10,0,0,15,1503
9,1,0,0,26,27,0,7,,,,,,6,1,1,0,13,10,1,1,45,4501
12,1,0,1,30,34,2,9,,,,,,5,1,0,1,13,10,1,1,46,4601
4,2,0,1,13,7,2,8,,,,,,4,0,0,1,13,10,1,1,25,2502
7,2,0,1,31,2,1,5,,,,,,5,0,1,0,13,10,0,1,42,4202
9,3,0,1,26,27,1,5,,,,,,7,1,1,0,13,10,1,1,45,4503
3,2,0,1,12,10,2,8,,,,,,2,0,0,1,13,10,1,1,40,4002
12,0,0,0,35,24,1,8,,,,,,13,0,0,1,13,10,1,1,25,2500
1,5,1,1,5,3,0,1,,,,,,0,0,0,1,13,10,0,1,90,1.01e+09
10,6,1,0,37,30,1,4,,,,,,4,0,0,1,13,10,0,1,90,1.01e+09
6,8,1,1,16,19,0,1,,,,,,4,0,1,1,13,10,1,0,20,2008
5,8,1,0,21,2,1,0,,,,,,5,0,1,0,13,10,0,0,42,4208
2,8,1,1,5,5,2,4,,,,,,2,0,1,1,13,10,0,0,9,908
8,7,1,1,24,25,1,2,,,,,,4,1,1,0,13,10,1,0,45,4507
4,7,1,1,1,17,1,3,,,,,,4,1,1,0,13,10,0,1,30,3007
3,8,1,1,11,9,2,1,,,,,,2,0,0,1,13,10,0,0,90,1.01e+09
9,8,1,1,29,29,0,4,,,,,,6,1,1,1,13,10,0,0,8,808
6,7,1,0,20,14,0,0,,,,,,2,1,1,1,13,10,1,1,48,4807
11,8,1,1,16,38,1,0,,,,,,9,1,0,0,13,10,1,1,33,3308
1,8,1,0,1,2,0,2,,,,,,0,1,0,1,13,10,1,1,92,8.08e+08
3,6,1,1,8,8,2,3,,,,,,4,1,1,1,13,10,0,1,8,806
9,9,1,0,41,2,1,3,,,,,,8,0,1,0,13,10,0,1,15,1509
6,6,1,0,23,13,0,0,,,,,,5,0,0,0,13,10,1,1,41,4106
5,6,1,1,2,22,1,3,,,,,,5,1,1,0,13,10,0,0,30,3006
7,8,1,0,28,15,1,3,,,,,,5,0,0,0,13,10,1,0,41,4108
4,9,1,1,15,10,0,0,,,,,,1,0,0,0,13,10,1,0,41,4109
12,6,1,1,3,57,1,1,,,,,,11,1,1,0,13,10,0,0,30,3006
3,6,1,0,8,8,1,1,,,,,,1,1,0,1,13,10,0,0,36,3606
4,5,1,0,6,12,0,0,,,,,,2,1,0,0,13,10,1,1,33,3305
6,9,1,0,19,12,1,1,,,,,,7,0,0,1,13,10,1,0,25,2509
5,9,1,0,23,7,1,0,,,,,,2,0,0,0,13,10,0,1,89,1.11e+09
13,5,1,,33,38,3,1,7,1,1,1,3,8,1,1,0,13,10,1,1,45,4505
9,6,1,1,16,21,1,1,,,,,,3,1,0,0,13,8,1,1,85,1.51e+09
2,7,1,0,7,7,1,0,,,,,,1,0,0,1,13,10,1,0,40,4007
1,5,1,1,1,5,0,2,,,,,,0,1,0,0,13,10,0,1,86,1.40e+09
10,8,1,1,27,33,2,3,,,,,,12,1,0,1,13,10,0,0,36,3608
8,6,1,0,35,6,1,1,,,,,,5,0,1,0,13,10,1,1,24,2406
1,9,1,1,3,4,0,4,,,,,,0,1,1,1,13,10,0,0,4,409
5,5,1,0,15,16,1,1,,,,,,2,1,1,1,13,10,0,0,8,805
6,6,1,0,17,13,0,4,,,,,,1,1,1,1,13,10,1,1,26,2606
3,6,1,0,8,8,0,1,,,,,,1,1,1,1,13,10,1,1,26,2606
12,7,1,1,42,27,0,3,,,,,,6,0,0,0,13,10,1,0,41,4107
13,5,1,,31,39,3,0,7,1,1,1,3,13,0,1,1,13,10,1,0,20,2005
8,6,1,0,26,25,0,3,,,,,,6,1,1,1,13,10,0,1,8,806
9,6,1,0,39,11,1,4,,,,,,9,0,0,0,13,10,0,1,49,4906
5,7,1,0,20,11,1,2,,,,,,5,0,0,0,13,10,1,0,41,4107
9,5,1,1,2,43,1,4,,,,,,6,1,0,0,13,10,0,1,86,1.40e+09
12,9,1,0,40,39,1,0,,,,,,7,1,1,1,13,10,0,1,8,809
1,6,1,0,1,2,1,3,,,,,,1,1,0,1,13,10,1,0,92,8.06e+08
7,8,1,0,26,22,1,0,,,,,,5,0,0,1,13,10,1,0,40,4008
9,8,1,0,33,28,1,3,,,,,,8,0,0,1,13,10,0,0,90,1.01e+09
2,5,1,0,8,3,1,1,,,,,,1,0,0,0,13,10,0,0,49,4905
12,8,1,0,42,27,0,1,,,,,,6,0,0,0,13,10,1,0,41,4108
6,8,1,0,19,16,0,2,,,,,,3,1,0,1,13,10,0,0,94,6.08e+08
9,5,1,0,25,28,1,1,,,,,,8,0,1,1,13,10,0,1,9,905
8,5,1,0,19,20,0,1,,,,,,7,1,0,0,13,10,1,0,43,4305
10,5,1,0,27,32,0,0,,,,,,6,0,1,1,13,10,1,0,20,2005
4,7,1,0,13,9,1,0,,,,,,4,0,0,1,13,10,1,0,44,4407
4,5,1,0,11,8,1,0,,,,,,6,1,1,1,13,10,1,0,26,2605
8,9,1,1,21,26,2,1,,,,,,10,0,1,1,13,10,0,0,9,909
11,6,1,1,3,52,1,0,,,,,,10,1,1,0,13,10,0,0,30,3006
8,5,1,0,24,15,0,1,,,,,,3,0,0,1,13,10,1,0,25,2505
1,8,1,1,4,4,0,3,,,,,,0,0,1,1,13,10,1,0,20,2008
6,8,1,0,13,16,0,4,,,,,,3,1,0,0,13,10,1,1,43,4308
7,8,1,1,22,25,2,1,,,,,,5,1,1,1,13,10,0,1,4,408
4,5,1,0,9,12,1,3,,,,,,1,1,1,0,13,10,0,0,32,3205
11,5,1,0,48,13,1,3,,,,,,10,0,0,0,13,10,0,0,49,4905
7,6,1,1,11,22,0,0,,,,,,1,1,1,0,13,10,1,1,19,1906
1,5,1,1,2,4,1,4,,,,,,1,1,1,0,13,10,1,0,19,1905
6,5,1,0,22,20,1,1,,,,,,4,0,0,1,13,10,1,1,40,4005
8,9,1,1,17,29,1,2,,,,,,5,1,0,0,13,10,0,1,47,4709
9,5,1,0,13,28,0,4,,,,,,4,1,1,0,13,10,1,0,19,1905
7,7,1,1,21,18,2,3,,,,,,7,0,1,1,13,10,0,0,22,2207
3,6,1,1,8,12,0,2,,,,,,3,1,1,1,13,10,0,0,4,406
4,5,1,0,17,4,1,0,,,,,,3,0,1,0,13,10,1,0,24,2405
6,8,1,0,28,10,1,4,,,,,,4,0,0,1,13,10,0,1,39,3908
13,6,1,,54,8,3,3,9,0,1,1,2,11,0,1,0,13,10,1,1,24,2406
11,8,1,0,24,31,0,2,,,,,,5,1,0,0,13,10,1,1,43,4308
3,8,1,1,8,8,2,2,,,,,,2,1,0,1,13,10,0,0,36,3608
12,7,1,0,54,8,1,1,,,,,,12,0,1,0,13,10,1,0,24,2407
10,5,1,1,36,24,2,0,,,,,,8,1,1,1,13,10,1,1,48,4805
8,5,1,1,24,25,1,1,,,,,,3,1,1,0,13,10,1,1,45,4505
2,5,1,1,2,5,1,3,,,,,,1,1,0,0,13,10,1,1,33,3305
3,8,1,1,5,9,0,3,,,,,,2,1,1,0,13,10,0,0,32,3208
10,8,1,1,40,14,0,3,,,,,,5,0,0,0,13,10,0,1,89,1.11e+09
5,9,1,1,11,15,1,4,,,,,,2,1,1,0,13,10,0,1,32,3209
12,5,1,0,58,13,1,3,,,,,,10,0,0,1,13,10,0,1,39,3905
11,7,1,1,33,22,0,3,,,,,,2,1,1,1,13,10,1,1,26,2607
1,7,1,1,0,3,1,2,,,,,,1,1,1,0,13,10,0,0,32,3207
5,6,1,1,13,15,0,2,,,,,,2,0,1,1,13,10,1,0,20,2006
13,5,1,,18,37,3,4,8,0,1,1,2,9,1,1,0,13,10,1,0,19,1905
12,5,1,1,33,38,0,4,,,,,,12,0,1,1,13,10,0,1,9,905
4,9,1,1,18,7,1,4,,,,,,1,0,0,0,13,10,0,1,89,1.11e+09
5,9,1,0,16,13,0,4,,,,,,3,1,0,1,13,10,0,1,94,6.09e+08
10,7,1,1,25,25,1,1,,,,,,7,0,1,0,13,10,1,1,10,1007
11,8,1,0,48,13,1,2,,,,,,5,0,0,0,13,10,0,0,49,4908
1,7,1,0,3,1,1,1,,,,,,1,0,1,0,13,10,0,1,15,1507
1,6,1,1,5,2,0,4,,,,,,0,0,0,1,13,10,0,0,39,3906
9,5,1,0,43,12,1,2,,,,,,7,0,0,1,13,10,0,1,39,3905
8,5,1,0,20,6,1,3,,,,,,5,0,0,0,13,8,1,0,21,2105
13,7,1,,33,38,4,3,6,1,1,0,2,20,0,1,1,13,10,0,0,9,907
6,4,1,0,15,5,1,2,,,,,,3,0,0,0,13,8,1,0,21,2104
9,9,1,1,28,24,2,3,,,,,,6,1,0,1,13,10,0,1,94,6.09e+08
2,9,1,0,4,6,0,3,,,,,,0,1,1,0,13,10,1,0,19,1909
5,9,1,1,15,10,2,3,,,,,,6,0,0,1,13,10,1,0,25,2509
3,7,1,1,12,10,0,4,,,,,,1,0,0,1,13,10,1,0,40,4007
10,8,1,1,2,48,1,3,,,,,,9,1,0,0,13,10,0,0,86,1.41e+09
2,5,1,1,6,5,0,2,,,,,,1,0,0,1,13,10,1,0,25,2505
10,9,1,0,31,20,1,0,,,,,,4,1,1,1,13,10,1,1,26,2609
12,9,1,0,34,39,0,3,,,,,,6,1,1,1,13,10,0,0,4,409
5,9,1,1,15,12,2,3,,,,,,5,0,0,1,13,10,1,0,44,4409
12,9,1,1,31,39,2,0,,,,,,11,0,1,1,13,10,1,0,20,2009
12,7,1,1,40,30,0,4,,,,,,12,0,1,1,13,10,0,0,22,2207
1,7,1,1,4,4,0,2,,,,,,0,0,1,1,13,10,1,1,20,2007
1,8,1,0,4,2,0,1,,,,,,0,0,1,0,13,10,1,1,10,1008
11,6,1,0,51,2,1,4,,,,,,9,0,1,0,13,10,0,0,42,4206
11,6,1,1,24,31,0,1,,,,,,6,1,0,0,13,10,1,1,43,4306
2,5,1,0,1,4,0,1,,,,,,1,1,0,0,13,8,1,0,85,1.50e+09
2,5,1,0,2,9,0,3,,,,,,0,1,0,0,13,10,0,1,86,1.40e+09
9,8,1,1,25,28,0,3,,,,,,6,0,1,1,13,10,0,0,9,908
9,8,1,1,3,42,1,0,,,,,,8,1,1,0,13,10,0,0,30,3008
1,6,1,0,5,1,1,0,,,,,,1,0,0,0,13,10,0,1,89,1.11e+09
13,9,1,,54,8,5,4,5,0,1,1,2,17,0,1,0,13,10,1,1,24,2409
4,5,1,0,10,3,0,1,,,,,,2,0,0,0,13,8,1,0,21,2105
5,8,1,1,2,22,1,4,,,,,,4,1,1,0,13,10,0,0,30,3008
11,6,1,0,29,28,1,1,,,,,,6,0,1,0,13,10,1,0,10,1006
10,8,1,0,31,18,0,1,,,,,,6,0,0,1,13,10,1,1,25,2508
2,7,1,0,7,6,1,4,,,,,,1,1,1,1,13,10,1,1,26,2607
7,9,1,0,21,17,0,0,,,,,,4,1,0,1,13,10,0,1,94,6.09e+08
3,9,1,0,12,3,1,1,,,,,,3,0,1,0,13,10,1,1,24,2409
